seed,DX,D_diff,time,error
10,0.11,0.0,0.0,0.4434304951014148
10,0.11,0.0,0.02,0.4138803129753697
10,0.11,0.0,0.04,0.4132841953970962
10,0.11,0.0,0.06,0.4093806577905523
10,0.11,0.0,0.08,0.4061908102262789
10,0.11,0.0,0.1,0.41386455622380625
10,0.11,0.0,0.12,0.4118839588756274
10,0.11,0.0,0.14,0.4126396083304273
10,0.11,0.0,0.16,0.4090658307201509
10,0.11,0.0,0.18,0.40623020699831397
10,0.11,0.0,0.2,0.4085477516254138
10,0.11,0.0,0.22,0.4137606338511874
10,0.11,0.0,0.24,0.4125389230805837
10,0.11,0.0,0.26,0.4125419811898832
10,0.11,0.0,0.28,0.4169980344358308
10,0.11,0.0,0.3,0.41771233593148877
10,0.11,0.0,0.32,0.4166872378514411
10,0.11,0.0,0.34,0.4173395501693169
10,0.11,0.0,0.36,0.41635101542420117
10,0.11,0.0,0.38,0.41749363839139525
10,0.11,0.0,0.4,0.4174198130101822
10,0.11,0.0,0.42,0.4176193898495944
10,0.11,0.0,0.44,0.420070820700219
10,0.11,0.0,0.46,0.4181549758911378
10,0.11,0.0,0.48,0.41487255336675904
10,0.11,0.0,0.5,0.41573385581348005
10,0.11,0.0,0.52,0.4192869949098564
10,0.11,0.0,0.54,0.42037639145707956
10,0.11,0.0,0.56,0.4219792796929921
10,0.11,0.0,0.58,0.42360813161489846
10,0.11,0.0,0.6,0.41314562110917064
10,0.11,0.0,0.62,0.4099626459990972
10,0.11,0.0,0.64,0.41102770275055167
10,0.11,0.0,0.66,0.4133971393382141
10,0.11,0.0,0.68,0.4172300939113111
10,0.11,0.0,0.7000000000000001,0.41839593997178115
10,0.11,0.0,0.72,0.42013141537279364
10,0.11,0.0,0.74,0.4135674845741681
10,0.11,5.0,0.0,0.45818735063752086
10,0.11,5.0,0.02,0.42029228219576625
10,0.11,5.0,0.04,0.4090468181355415
10,0.11,5.0,0.06,0.4010876014800847
10,0.11,5.0,0.08,0.40938876739217256
10,0.11,5.0,0.1,0.42449921995617423
10,0.11,5.0,0.12,0.43809684895008705
10,0.11,5.0,0.14,0.4460196337671964
10,0.11,5.0,0.16,0.43479806074839716
10,0.11,5.0,0.18,0.4262634148569381
10,0.11,5.0,0.2,0.428018345451592
10,0.11,5.0,0.22,0.4289589005456515
10,0.11,5.0,0.24,0.42583233053876957
10,0.11,5.0,0.26,0.41927609517414893
10,0.11,5.0,0.28,0.4254341226298958
10,0.11,5.0,0.3,0.4245569624791936
10,0.11,5.0,0.32,0.42354824889568005
10,0.11,5.0,0.34,0.42186953795905613
10,0.11,5.0,0.36,0.42334598725899214
10,0.11,5.0,0.38,0.439037642719727
10,0.11,5.0,0.4,0.42594819939289236
10,0.11,5.0,0.42,0.41973482690348046
10,0.11,5.0,0.44,0.4107419277767563
10,0.11,5.0,0.46,0.4092192142436399
10,0.11,5.0,0.48,0.4099410454826604
10,0.11,5.0,0.5,0.4195740725241251
10,0.11,5.0,0.52,0.4204435278074002
10,0.11,5.0,0.54,0.4116551345877343
10,0.11,5.0,0.56,0.4078553666506336
